Common and binomial names,Image,Status
Snowy egret(Egretta thula),,A rare vagrant
Great egret(Ardea alba),,"A resident breeding species, first bred 2012"
Grey heron(Ardea cinerea),,A resident breeding species and winter migrant
Great blue heron(Ardea herodias),,A rare vagrant
Purple heron(Ardea purpurea),,"A scarce migrant, recently bred"
Glossy ibis(Plegadis falcinellus),,A rare vagrant
Common spoonbill(Platalea leucorodia),,"A scarce migrant, recently bred"
Black stork(Ciconia nigra),,A rare vagrant
White stork(Ciconia ciconia),,"A scarce migrant, formerly bred"
Pied-billed grebe(Podilymbus podiceps),,A rare vagrant
Little grebe(Tachybaptus ruficollis),,A resident breeder and winter visitor
Great crested grebe(Podiceps cristatus),,A resident breeder and winter visitor
Red-necked grebe(Podiceps grisegena),,"A winter visitor, has bred"
Slavonian grebe(Podiceps auritus),,A resident breeder and winter visitor
Black-necked grebe(Podiceps nigricollis),,A resident breeder and winter visitor
European honey buzzard(Pernis apivorus),,A breeding summer visitor and passage migrant
Black kite(Milvus migrans),,A scarce migrant
Red kite(Milvus milvus),,A & C resident breeder and widespread introductions
White-tailed eagle(Haliaeetus albicilla),,A & C resident breeder and widespread introductions
Egyptian vulture(Neophron percnopterus),,B rare vagrant
Short-toed snake eagle(Circaetus gallicus),,A rare vagrant
Western marsh harrier(Circus aeruginosus),,A resident breeder and passage migrant
Hen harrier(Circus cyaneus),,"A resident breeder, winter visitor and passage migrant"
Pallid harrier(Circus macrourus),,A rare vagrant
Montagu's harrier(Circus pygargus),,A breeding summer visitor and passage migrant
Northern goshawk(Accipiter gentilis),,A & C resident breeder and naturalised escapes
Eurasian sparrowhawk(Accipiter nisus),,A resident breeder and passage migrant
Common buzzard(Buteo buteo),,A resident breeder and passage migrant
Rough-legged buzzard(Buteo lagopus),,A winter visitor
Greater spotted eagle(Clanga clanga),,B rare vagrant
Golden eagle(Aquila chrysaetos),,A resident breeding species
Osprey(Pandion haliaetus),,A breeding summer visitor
Lesser kestrel(Falco naumanni),,A rare vagrant
Common kestrel(Falco tinnunculus),,A resident breeding species
American kestrel(Falco sparverius),,A rare vagrant
Red-footed falcon(Falco vespertinus),,A scarce migrant
Amur falcon(Falco amurensis),,A rare vagrant
Merlin(Falco columbarius),,A resident breeding species
(Eurasian) Hobby(Falco subbuteo),,A breeding summer visitor
Eleonora's falcon(Falco eleonorae),,A rare vagrant
Gyr falcon(Falco rusticolus),,A rare vagrant
Peregrine falcon(Falco peregrinus),,A resident breeding species
Water rail(Rallus aquaticus),,A resident breeding species
Spotted crake(Porzana porzana),,A scarce breeding summer visitor
Sora(Porzana carolina),,A rare vagrant
Little crake(Porzana parva),,A rare vagrant
Baillon's crake(Porzana pusilla),,"A rare vagrant, formerly bred"
Corn crake(Crex crex),,A breeding summer visitor
Common moorhen(Gallinula chloropus),,A resident breeding species
Western swamphen[5](Porphyrio porphyrio),,One record
Allen's gallinule(Porphyrio alleni),,A rare vagrant
American purple gallinule(Porphyrio martinicus),,A rare vagrant
Coot(Fulica atra),,A resident breeding species
American coot(Fulica americana),,A rare vagrant
Common crane(Grus grus),,A resident breeding species and passage migrant
Sandhill crane(Grus canadensis),,A rare vagrant
Little bustard(Tetrax tetrax),,A rare vagrant
Macqueen's bustard(Chlamydotis macqueenii),,B rare vagrant
Great bustard(Otis tarda),,A rare vagrant and recently reintroduced breeding resident species
Eurasian oystercatcher(Haematopus ostralegus),,A resident breeding species
Black-winged stilt(Himantopus himantopus),,A rare vagrant and occasional breeder
Pied avocet(Recurvirostra avosetta),,A resident breeding species
Stone curlew(Burhinus oedicnemus),,A breeding summer visitor
Cream-coloured courser(Cursorius cursor),,A rare vagrant
Collared pratincole(Glareola pratincola),,A rare vagrant
Oriental pratincole(Glareola maldivarum),,A rare vagrant
Black-winged pratincole(Glareola nordmanni),,A rare vagrant
Little ringed plover(Charadrius dubius),,A breeding summer visitor
Ringed plover(Charadrius hiaticula),,A resident breeding species and summer visitor
Semipalmated plover(Charadrius semipalmatus),,A rare vagrant
Killdeer(Charadrius vociferus),,A rare vagrant
Kentish plover(Charadrius alexandrinus),,"A scarce migrant, formerly bred"
Lesser sand plover(Charadrius mongolus),,A rare vagrant
Greater sand plover(Charadrius leschenaultii),,A rare vagrant
Caspian plover(Charadrius asiaticus),,A rare vagrant
Eurasian dotterel(Charadrius morinellus),,A breeding summer visitor
American golden plover(Pluvialis dominica),,A scarce migrant
Pacific golden plover(Pluvialis fulva),,A rare vagrant
European golden plover(Pluvialis apricaria),,"A winter visitor and passage migrant, scarce breeder"
Grey plover(Pluvialis squatarola),,A winter visitor and passage migrant
Sociable lapwing(Vanellus gregarius),,A rare vagrant
White-tailed lapwing(Vanellus leucurus),,A rare vagrant
Lapwing(Vanellus vanellus),,A resident breeding species
Great knot(Calidris tenuirostris),,A rare vagrant
Red knot(Calidris canutus),,A winter visitor and passage migrant
Sanderling(Calidris alba),,A winter visitor & passage migrant
Semipalmated sandpiper(Calidris pusilla),,A rare vagrant
Western sandpiper(Calidris mauri),,A rare vagrant
Red-necked stint(Calidris ruficollis),,A rare vagrant
Little stint(Calidris minuta),,A winter visitor & passage migrant
Temminck's stint(Calidris temminckii),,"A winter visitor & passage migrant, occasional breeder"
Long-toed stint(Calidris subminuta),,A rare vagrant
Least sandpiper(Calidris minutilla),,A rare vagrant
White-rumped sandpiper(Calidris fuscicollis),,A scarce migrant
Baird's sandpiper(Calidris bairdii),,A rare vagrant
Pectoral sandpiper(Calidris melanotos),,A winter visitor & passage migrant
Sharp-tailed sandpiper(Calidris acuminata),,A rare vagrant
Curlew sandpiper(Calidris ferruginea),,A winter visitor and passage migrant
Stilt sandpiper(Calidris himantopus),,A rare vagrant
Purple sandpiper(Calidris maritima),,"A winter visitor & passage migrant, occasional breeder"
Dunlin(Calidris alpina),,"A winter visitor and passage migrant, scarce breeder"
Broad-billed sandpiper(Calidris falcinellus),,A rare vagrant
Buff-breasted sandpiper(Calidris subruficollis),,A passage migrant
Ruff(Calidris pugnax),,A passage migrant and scarce breeding resident
Jack snipe(Lymnocryptes minimus),,A winter visitor & passage migrant
Common snipe(Gallinago gallinago),,A resident breeding species and summer visitor
Wilson's snipe(Gallinago delicata),,A rare vagrant
Great snipe(Gallinago media),,A rare vagrant
Short-billed dowitcher(Limnodromus griseus),,A rare vagrant
Long-billed dowitcher(Limnodromus scolopaceus),,A rare vagrant
Woodcock(Scolopax rusticola),,A resident breeding species
Black-tailed godwit(Limosa limosa),,"A winter visitor, passage migrant and scarce summer breeding species"
Hudsonian godwit(Limosa haemastica),,A rare vagrant
Bar-tailed godwit(Limosa lapponica),,A winter visitor & passage migrant
Little curlew(Numenius minutus),,A rare vagrant
Eskimo curlew(Numenius borealis),,B (extinct)
Hudsonian whimbrel(Numenius hudsonicus),,A rare vagrant
Eurasian whimbrel(Numenius phaeopus),,A breeding summer visitor
Curlew(Numenius arquata),,A resident breeding species
Upland sandpiper(Bartramia longicauda),,A rare vagrant
Terek sandpiper(Xenus cinereus),,A rare vagrant
Common sandpiper(Actitis hypoleucos),,A resident breeding species and passage migrant
Spotted sandpiper(Actitis macularius),,A rare vagrant
Green sandpiper(Tringa ochropus),,"A winter visitor & passage migrant, occasional breeder"
Solitary sandpiper(Tringa solitaria),,A rare vagrant
Grey-tailed tattler(Tringa brevipes),,A rare vagrant
Spotted redshank(Tringa erythropus),,A winter visitor and passage migrant
Greater yellowlegs(Tringa melanoleuca),,A rare vagrant
Common greenshank(Tringa nebularia),,A resident breeding species and passage migrant
Lesser yellowlegs(Tringa flavipes),,A rare vagrant
Marsh sandpiper(Tringa stagnatilis),,A rare vagrant
Wood sandpiper(Tringa glareola),,A passage migrant & rare localised breeder in far North
Common redshank(Tringa totanus),,A resident breeding species
Turnstone(Arenaria interpres),,A resident breeding species
Wilson's phalarope(Phalaropus tricolor),,A rare vagrant
Red-necked phalarope(Phalaropus lobatus),,A winter visitor: scarce & localised summer breeding in far North
Grey phalarope(Phalaropus fulicaria),,A scarce winter visitor
Pomarine skua(Stercorarius pomarinus),,A passage migrant
Arctic skua(Stercorarius parasiticus),,A passage migrant and localised summer breeder
Long-tailed skua(Stercorarius longicaudus),,A passage migrant
Great skua(Stercorarius skua),,A passage migrant and localised summer breeder
Ivory gull(Pagophila eburnea),,A rare vagrant
Sabine's gull(Xema sabini),,A scarce winter visitor
Black-legged kittiwake(Rissa tridactyla),,A breeding summer visitor and resident species
Slender-billed gull(Chroicocephalus genei),,A rare vagrant
Bonaparte's gull(Chroicocephalus philadelphia),,A rare vagrant
Black-headed gull(Chroicocephalus ridibundus),,A resident breeding species
Little gull(Hydrocoloeus minutus),,"A winter visitor, occasional breeder"
Ross's gull(Rhodostethia rosea),,A rare vagrant
Laughing gull(Leucophaeus atricilla),,A rare vagrant
Franklin's gull(Leucophaeus pipixcan),,A rare vagrant
Mediterranean gull(Ichthyaetus melanocephalus),,"A breeding summer visitor, & resident in south."
Audouin's gull(Ichthyaetus audouinii),,A rare vagrant
Pallas's gull(Ichthyaetus ichthyaetus),,B rare vagrant
Common gull(Larus canus),,"A resident breeding species, winter visitor & passage migrant"
Ring-billed gull(Larus delawarensis),,A scarce winter visitor & passage migrant
Lesser black-backed gull(Larus fuscus),,A resident breeding species and passage migrant
European herring gull(Larus argentatus),,A resident breeding species
Yellow-legged gull(Larus michahellis),,"A non-breeding late-summer visitor and passage migrant, has bred"
Caspian gull(Larus cachinnans),,A scarce migrant
American herring gull(Larus smithsonianus),,A rare vagrant
Iceland gull(Larus glaucoides),,A scarce winter visitor
Slaty-backed gull(Larus schistisagus),,A rare vagrant
Glaucous-winged gull(Larus glaucescens),,A rare vagrant
Glaucous gull(Larus hyperboreus),,"A winter visitor, has bred"
Great black-backed gull(Larus marinus),,A resident breeding species and passage migrant
Aleutian tern(Onychoprion aleutica),,A rare vagrant
Sooty tern(Onychoprion fuscata),,A rare vagrant
Bridled tern(Onychoprion anaethetus),,A rare vagrant
Little tern(Sternula albifrons),,A breeding summer visitor
Gull-billed tern(Gelochelidon nilotica),,"A rare vagrant, has bred"
Caspian tern(Hydroprogne caspia),,A rare vagrant
Whiskered tern(Chlidonias hybridus),,A rare vagrant
Black tern(Chlidonias niger),,"A passage migrant, occasional breeder"
White-winged tern(Chlidonias leucopterus),,A scarce migrant
Cabot's tern(Thalasseus acuflavida),,A rare vagrant
Elegant tern(Thalasseus elegans),,A rare vagrant
Sandwich tern(Thalasseus sandvicensis),,A breeding summer visitor
Royal tern(Thalasseus maximus),,A rare vagrant
Lesser crested tern(Thalasseus bengalensis),,A rare vagrant
Forster's tern(Sterna forsteri),,A rare vagrant
Common tern(Sterna hirundo),,A breeding summer visitor
Roseate tern(Sterna dougallii),,A scarce breeding summer visitor
Arctic tern(Sterna paradisaea),,A breeding summer visitor
Common guillemot(Uria aalge),,A breeding summer visitor and resident species
Brunnich's guillemot(Uria lomvia),,A rare vagrant
Razorbill(Alca torda),,A breeding summer visitor and resident species
Great auk(Pinguinus impennis),,B (extinct)
Black guillemot(Cepphus grylle),,A resident localised breeding species
Long-billed murrelet(Brachyramphus perdix),,A rare vagrant
Ancient murrelet(Synthliboramphus antiquus),,A rare vagrant
Little auk(Alle alle),,A rare winter visitor
Atlantic puffin(Fratercula arctica),,A breeding summer visitor
Tufted puffin(Fratercula cirrhata),,A rare vagrant
Pallas's sandgrouse(Syrrhaptes paradoxus),,"A rare vagrant, has bred"
Rock pigeon or feral pigeon(Columba livia),,"A & C Resident, most birds are of feral origin"
Stock dove(Columba oenas),,A resident breeding species
Wood pigeon(Columba palumbus),,A resident breeding species
Collared dove(Streptopelia decaocto),,A resident breeding species
Turtle dove(Streptopelia turtur),,A breeding summer visitor
Oriental turtle dove(Streptopelia orientalis),,A rare vagrant
Mourning dove(Zenaida macroura),,A rare vagrant
Ring-necked parakeet(Psittacula krameri),,C resident introduced population
Great spotted cuckoo(Clamator glandarius),,A rare vagrant
Common cuckoo(Cuculus canorus),,A breeding summer visitor
Black-billed cuckoo(Coccyzus erythropthalmus),,A rare vagrant
Yellow-billed cuckoo(Coccyzus americanus),,A rare vagrant
Barn owl(Tyto alba),,A resident breeding species
Scops owl(Otus scops),,A rare vagrant
Snowy owl(Bubo scandiacus),,"A rare vagrant, has bred Shetland Islands"
Northern hawk-owl(Surnia ulula),,A rare vagrant
Little owl(Athene noctua),,C resident introduced population
Tawny owl(Strix aluco),,A resident breeding species
Long-eared owl(Asio otus),,A scarce resident breeding species
Short-eared owl(Asio flammeus),,A resident breeding species or winter visitor
Tengmalm's owl(Aegolius funereus),,A rare vagrant
European nightjar(Caprimulgus europaeus),,A breeding summer visitor
Red-necked nightjar(Caprimulgus ruficollis),,A rare vagrant
Egyptian nightjar(Caprimulgus aegyptius),,A rare vagrant
Common nighthawk(Chordeiles minor),,A rare vagrant
Chimney swift(Chaetura pelagica),,A rare vagrant
Needle-tailed swift(Hirundapus caudacutus),,A rare vagrant
Common swift(Apus apus),,A breeding summer visitor
Pallid swift(Apus pallidus),,A rare vagrant
Pacific swift(Apus pacificus),,A rare vagrant
Alpine swift(Apus melba),,A scarce migrant
Little swift(Apus affinis),,A rare vagrant
White-rumped swift(Apus caffer),,A rare vagrant
Common kingfisher(Alcedo atthis),,A resident breeding species
Belted kingfisher(Megaceryle alcyon),,A rare vagrant
Blue-cheeked bee-eater(Merops persicus),,A rare vagrant
European bee-eater(Merops apiaster),,A scarce summer visitor - occasional breeder
European roller(Coracias garrulus),,A rare vagrant
Hoopoe(Upupa epops),,"A scarce summer visitor, occasional breeder"
Eurasian wryneck(Jynx torquilla),,"A rare passage migrant, occasional breeder"
European green woodpecker(Picus viridis),,A resident breeding species
Yellow-bellied sapsucker(Sphyrapicus varius),,A rare vagrant
Great spotted woodpecker(Dendrocopos major),,A resident breeding species
Lesser spotted woodpecker(Dryobates minor),,A resident breeding species
Eastern phoebe(Sayornis phoebe),,A rare vagrant
Acadian flycatcher(Empidonax virescens),,A rare vagrant
Alder flycatcher(Empidonax alnorum),,A rare vagrant
Eastern kingbird(Tyrannus tyrannus),,A rare vagrant
Yellow-throated vireo(Vireo flavifrons),,A rare vagrant
Philadelphia vireo(Vireo philadelphicus),,A rare vagrant
Red-eyed vireo(Vireo olivaceus),,A rare vagrant
Eurasian golden oriole(Oriolus oriolus),,A scarce breeding summer visitor
Brown shrike(Lanius cristatus),,A rare vagrant
Isabelline shrike(Lanius isabellinus),,A rare vagrant
Red-backed shrike(Lanius collurio),,"A scarce passage migrant, occasional breeder"
Long-tailed shrike(Lanius schach),,A rare vagrant
Lesser grey shrike(Lanius minor),,A rare vagrant
Great grey shrike(Lanius excubitor),,A scarce winter visitor
Southern grey shrike(Lanius meridionalis),,A rare vagrant
Woodchat shrike(Lanius senator),,A scarce migrant
Masked shrike(Lanius nubicus),,A rare vagrant
Red-billed chough(Pyrrhocorax pyrrhocorax),,A resident breeding species
Eurasian magpie(Pica pica),,A resident breeding species
Eurasian jay(Garrulus glandarius),,A resident breeding species
Spotted nutcracker(Nucifraga caryocatactes),,A rare vagrant
Jackdaw(Coloeus monedula),,A resident breeding species
Rook(Corvus frugilegus),,A resident breeding species
Carrion crow(Corvus corone),,A resident breeding species
Hooded crow(Corvus cornix),,A resident breeding species
Common raven(Corvus corax),,A resident breeding species
Goldcrest(Regulus regulus),,A resident breeding species
Common firecrest(Regulus ignicapillus),,A scarce resident breeding species and passage migrant
Penduline tit(Remiz pendulinus),,A rare vagrant
Eurasian blue tit(Cyanistes caeruleus),,A resident breeding species
Great tit(Parus major),,A resident breeding species
Crested tit(Lophophanes cristatus),,A resident breeding species
Coal tit(Periparus ater),,A resident breeding species
Willow tit(Poecile montana),,A resident breeding species
Marsh tit(Poecile palustris),,A resident breeding species
Bearded tit(Panurus biarmicus),,A resident breeding species
Calandra lark(Melanocorypha calandra),,A rare vagrant
Bimaculated lark(Melanocorypha bimaculata),,A rare vagrant
Black lark(Melanocorypha yeltoniensis),,A rare vagrant
Greater short-toed lark(Calandrella brachydactyla),,A scarce migrant
Lesser short-toed lark(Alaudala rufescens),,A rare vagrant
Crested lark(Galerida cristata),,A rare vagrant
Woodlark(Lullula arborea),,A scarce resident breeding species and summer migrant
Eurasian skylark(Alauda arvensis),,A resident breeding species
White-winged lark(Alauda leucoptera),,A rare vagrant
Shore lark(Eremophila alpestris),,"A scarce winter visitor and passage migrant, occasional breeder"
Sand martin(Riparia riparia),,A breeding summer visitor
Tree swallow(Tachycineta bicolor),,A rare vagrant
Purple martin(Progne subis),,A rare vagrant
Eurasian crag martin(Ptyonoprogne rupestris),,A rare vagrant
Barn swallow(Hirundo rustica),,A breeding summer visitor
Common house martin(Delichon urbicum),,A breeding summer visitor
Red-rumped swallow(Cecropis daurica),,A scarce migrant
American cliff swallow(Petrochelidon pyrrhonota),,A rare vagrant
Cetti's warbler(Cettia cetti),,A resident breeding species
Long-tailed tit(Aegithalos caudatus),,A resident breeding species
Eastern crowned warbler(Phylloscopus coronatus),,A rare vagrant
Green warbler(Phylloscopus nitidus),,A rare vagrant
Greenish warbler(Phylloscopus trochiloides),,A scarce migrant
Pale-legged leaf warbler(Phylloscopus tenellipes),,A rare vagrant
Arctic warbler(Phylloscopus borealis),,A scarce migrant
Pallas's warbler(Phylloscopus proregulus),,A scarce migrant
Yellow-browed warbler(Phylloscopus inornatus),,A scarce migrant
Hume's warbler(Phylloscopus humei),,A rare vagrant
Radde's warbler(Phylloscopus schwarzi),,A scarce migrant
Dusky warbler(Phylloscopus fuscatus),,A scarce migrant
Western Bonelli's warbler(Phylloscopus bonelli),,A scarce migrant
Eastern Bonelli's warbler(Phylloscopus orientalis),,A rare vagrant
Wood warbler(Phylloscopus sibilatrix),,A breeding summer visitor
Common chiffchaff(Phylloscopus collybita),,A breeding summer visitor
Iberian chiffchaff(Phylloscopus ibericus),,A rare vagrant
Willow warbler(Phylloscopus trochilus),,A breeding summer visitor
Blackcap(Sylvia atricapilla),,A resident breeding species & summer visitor
Garden warbler(Sylvia borin),,A breeding summer visitor
Barred warbler(Sylvia nisoria),,A passage migrant
Lesser whitethroat(Sylvia curruca),,A breeding summer visitor
Western Orphean warbler(Sylvia hortensis),,A rare vagrant
Eastern Orphean warbler(Sylvia Sylvia crassirostris),,A very rare vagrant
Asian desert warbler(Sylvia nana),,A rare vagrant
Whitethroat(Sylvia communis),,A breeding summer visitor
Spectacled warbler(Sylvia conspicillata),,A rare vagrant
Dartford warbler(Sylvia undata),,A resident breeding species
Marmora's warbler(Sylvia sarda),,A rare vagrant
Rüppell's warbler(Sylvia ruppeli),,A rare vagrant
Subalpine warbler(Sylvia cantillans),,A scarce migrant
Moltoni's warbler(Sylvia subalpina),,A rare vagrant
Sardinian warbler(Sylvia melanocephala),,A rare vagrant
Pallas's grasshopper warbler(Helopsaltes certhiola),,A rare vagrant
Lanceolated warbler(Locustella lanceolata),,A rare vagrant
Grasshopper warbler(Locustella naevia),,A breeding summer visitor
River warbler(Locustella fluviatilis),,A rare vagrant
Savi's warbler(Locustella luscinioides),,A rare breeding summer visitor
Thick-billed warbler(Arundinax aedon),,A rare vagrant
Booted warbler(Iduna caligata),,A rare vagrant
Sykes's warbler(Iduna rama),,A rare vagrant
Eastern olivaceous warbler(Iduna pallida),,A rare vagrant
Olive-tree warbler(Hippolais olivetorum),,A rare vagrant
Icterine warbler(Hippolais icterina),,"A scarce migrant, occasional breeder"
Melodious warbler(Hippolais polyglotta),,"A scarce migrant, occasional breeder"
Aquatic warbler(Acrocephalus paludicola),,A scarce migrant
Sedge warbler(Acrocephalus schoenobaenus),,A breeding summer visitor
Paddyfield warbler(Acrocephalus agricola),,A rare vagrant
Blyth's reed warbler(Acrocephalus dumetorum),,A rare vagrant
Marsh warbler(Acrocephalus palustris),,A breeding summer visitor
Eurasian reed warbler(Acrocephalus scirpaceus),,A breeding summer visitor
Great reed warbler(Acrocephalus arundinaceus),,"A rare vagrant, has bred"
Zitting cisticola(Cisticola juncidis),,A rare vagrant
Cedar waxwing(Bombycilla cedrorum),,A rare vagrant
Bohemian waxwing(Bombycilla garrulus),,A winter visitor in highly varied numbers.
Wallcreeper(Tichodroma muraria),,A rare vagrant
Red-breasted nuthatch(Sitta canadensis),,A rare vagrant
Eurasian nuthatch(Sitta europaea),,A resident breeding species
Common treecreeper(Certhia familiaris),,A resident breeding species
Short-toed treecreeper(Certhia brachydactyla),,A rare vagrant
Wren(Troglodytes troglodytes),,A resident breeding species
Northern mockingbird(Mimus polyglottos),,A rare vagrant
Brown thrasher(Toxostoma rufum),,A rare vagrant (one record)
Grey catbird(Dumetella carolinensis),,A rare vagrant (one record)
Common starling(Sturnus vulgaris),,A resident breeding species and winter visitor
Rosy starling(Pastor roseus),,A rare vagrant
White-throated dipper(Cinclus cinclus),,A resident breeding species
White's thrush(Zoothera dauma),,A rare vagrant
Varied thrush(Ixoreus naevius),,A very rare vagrant (one record)
Wood thrush(Hylocichla mustelina),,A rare vagrant
Hermit thrush(Catharus guttatus),,A rare vagrant
Swainson's thrush(Catharus ustulatus),,A rare vagrant
Grey-cheeked thrush(Catharus minimus),,A rare vagrant
Veery(Catharus fuscescens),,A rare vagrant
Siberian thrush(Geokichla sibirica),,A rare vagrant
Ring ouzel(Turdus torquatus),,A breeding summer visitor
Blackbird(Turdus merula),,A resident breeding species
Eyebrowed thrush(Turdus obscurus),,A rare vagrant
Dusky thrush(Turdus eunomus),,A rare vagrant
